indice_tiempo,ipc_2003_nivel_general,ipc_2003_alimentos_bebidas,ipc_2003_indumentaria,ipc_2003_vivienda,ipc_2003_equipamiento_del_hogar,ipc_2003_atencion_medica_salud,ipc_2003_transporte_comunicaciones,ipc_2003_esparcimiento,ipc_2003_educacion,ipc_2003_bienes_servicios_varios
2005-09-01,115.9,119.42,117.39,115.98,113.79,111.7,109.07,114.15,121.11,122.16
2005-10-01,116.81,119.92,120.62,116.47,114.59,112.68,109.62,115.82,123.36,122.85
2005-11-01,118.26,122.63,122.04,117.0,115.3,113.77,109.93,117.01,124.54,123.22
2005-12-01,119.45,123.5,122.69,117.59,116.27,116.0,110.77,121.51,124.38,123.14
2006-01-01,121.03,124.66,120.77,118.53,116.84,117.72,112.66,129.44,124.51,123.44
2006-02-01,121.39,125.55,118.52,118.52,117.98,118.4,113.77,127.84,124.84,123.81
2006-03-01,122.82,127.47,123.61,120.07,118.97,119.38,114.51,124.04,134.98,124.31
2006-04-01,124.0,127.77,129.5,121.11,119.95,120.19,115.3,126.5,136.4,125.43
2006-05-01,124.55,127.26,132.42,123.26,120.96,121.1,116.09,126.27,138.01,125.81
2006-06-01,125.12,127.64,133.27,124.15,121.76,121.7,116.64,126.73,138.48,126.62
2006-07-01,125.78,127.68,130.79,126.58,122.41,122.05,117.1,129.9,143.06,126.96
2006-08-01,126.48,129.4,135.71,128.37,123.54,123.5,117.8,131.51,147.17,128.03
2006-09-01,127.52,129.4,135.71,128.37,123.54,123.5,117.8,131.51,147.17,128.03
2006-10-01,128.82,131.42,138.61,129.55,124.3,124.19,118.06,132.07,148.33,128.69
2006-11-01,129.94,133.68,139.92,130.07,124.89,124.84,118.54,132.0,148.35,129.21
2006-12-01,131.43,136.5,140.56,130.82,125.93,125.18,118.92,134.4,148.08,129.55
2007-01-01,132.96,138.96,138.18,131.93,126.89,126.68,120.07,136.96,148.5,131.42
2007-02-01,133.59,140.14,136.89,132.84,128.24,126.42,120.93,136.36,149.09,132.16
2007-03-01,134.98,141.59815255632904,138.3143364024253,134.22219627217606,129.57433340818923,127.73539636200313,122.1882730743319,137.7788217680964,150.64127704169474,133.53512089228235
2007-04-01,136.38,144.18,145.75,135.75,130.84,128.44,122.55,131.57,156.67,133.83
2007-05-01,137.29,145.05,147.68,136.81,131.96,129.1,123.34,131.86,158.12,134.53
2007-06-01,138.26,145.88,148.26,137.92,133.29,129.62,124.21,133.14,159.48,136.79
2007-07-01,139.31,146.93,145.58,138.83,135.21,130.53,125.75,134.93,162.55,138.19
2007-08-01,140.42,149.1,142.37,140.29,135.54,132.32,127.21,133.7,165.39,138.46
2007-09-01,141.6,150.3,142.84,141.65,137.17,133.25,128.6,134.46,166.82,139.68
2007-10-01,142.7,151.35,143.86,142.94,138.56,133.83,130.13,135.21,168.01,140.54
2007-11-01,143.25,149.72,145.16,144.29,139.66,135.24,133.19,136.37,169.13,142.02
2007-12-01,144.6,150.15,146.72,145.91,139.17,139.77,134.3,139.07,169.55,145.0
2008-01-01,146.03,151.57,145.05,148.11,139.99,141.21,136.08,142.28,170.19,145.9
2008-02-01,146.96,153.77,142.58,149.73,141.02,142.04,135.68,142.18,171.82,146.78
2008-03-01,149.32,156.99,144.3,151.6,142.2,143.14,136.93,143.87,184.31,147.56
